Wojewodztwo;Rok;Gestosc zaludnienia na km2;Populacja;Ilosc malzenstw;Ilosc malzenstw koscielnych;Malzenstwa kobieta <=19 lat;Malzenstwa kobieta 20-24 lat;Malzenstwa kobieta 25-29 lat;Malzenstwa kobieta 30-39 lat;Malzenstwa kobieta 40-49 lat;Malzenstwa kobieta >=50 lat;Malzenstwa mezczyzna <=19 lat;Malzenstwa mezczyzna 20-24 lat;Malzenstwa mezczyzna 25-29 lat;Malzenstwa mezczyzna 30-39 lat;Malzenstwa mezczyzna 40-49 lat;Malzenstwa mezczyzna >=50 lat;Malzenstwa kobieta pochodzi ze wsi;Malzenstwa mezczyzna pochodzi ze wsi;Ilosc rozwodow;Rozwody zainicjowane przez osoby ze wsi;Rozwody zainicjowane przez kobiety <=24 lat;Rozwody zainicjowane przez kobiety 25-29 lat;Rozwody zainicjowane przez kobiety 30-39 lat;Rozwody zainicjowane przez kobiety 40-49 lat;Rozwody zainicjowane przez kobiety >=50 lat;Rozwody zainicjowane przez mezczyzn <=24 lat;Rozwody zainicjowane przez mezczyzn 25-29 lat;Rozwody zainicjowane przez mezczyzn 30-39 lat;Rozwody zainicjowane przez mezczyzn 40-49 lat;Rozwody zainicjowane przez mezczyzn >=50 lat;srednie zarobki;Ilosc zatrudnionych kobiet;Wspolczynnik feminizacji;Dzietnosc;Zgony niemowlat na 1000 urodzonych;Rozwody przy braku dzieci;Rozwody przy 1 dziecku;Rozwody przy 2 dzieciach;Rozwody przy 3 dzieciach;Rozwody przy >=4 dzieciach;Rozwody z powodu niedochowania wiernosci;Rozwody z powodu naduzycia alkoholu;Rozwody z powodu naganndego stosuknu do czlonkow rodziny;Rozwody z powodu trudnosci mieszkaniowych;Rozwody z powodu nieporozumien na tle finansowym;Rozwody z powodu niezgodnosci charakterow;Rozwody z powodu niedoboru seksualnego;Rozwody z powodu dluzszej nieobecnosci;Rozwody z powodu roznic swiatopogladowych
POMORSKIE;2005;120;2197241;12081;8356;733;5105;3944;1389;388;409;119;3224;5038;2445;520;598;4081;4106;4027;674;250;833;1498;1018;428;88;581;1556;1169;633;2511,25;309522;106;1,359;6;1360;1552;806;206;103;555;349;142;9;154;876;29;9;0
SLASKIE;2005;380;4686574;25411;16918;1554;11135;8456;2588;818;913;280;7164;11019;4453;1040;1234;5235;5255;9168;1062;624;1814;3495;2313;922;202;1344;3606;2705;1311;2587,07;671234;107;1,13;7,4;3044;3774;1824;399;127;1191;890;499;15;295;2603;26;33;0
SWIETOKRZYSKIE;2005;110;1288155;7154;5577;535;3558;2313;559;126;156;71;2214;3286;1145;187;195;3940;3851;893;270;61;160;334;257;81;25;116;323;294;135;2173,15;202928;105;1,209;5,9;245;368;207;44;29;28;60;29;0;8;138;0;0;0
WARMINSKO-MAZURSKIE;2005;59;1426235;7810;5354;606;3481;2542;762;207;240;89;2321;3293;1398;309;325;3237;3144;3057;824;203;556;1107;867;324;64;400;1099;1011;483;2103,99;184933;105;1,335;6,4;834;1192;710;205;116;329;348;134;0;63;1116;7;38;0
WIELKOPOLSKIE;2005;113;3370395;18950;14234;1167;8359;6546;1857;439;439;199;5359;8488;3445;626;637;8213;8286;4601;1116;297;888;1738;1179;499;98;650;1742;1417;694;2263,6;548726;106;1,316;5,9;1387;1831;996;271;116;544;503;217;10;138;1642;29;2;0
ZACHODNIOPOMORSKIE;2005;74;1694044;8441;5147;437;3226;3007;1022;360;409;45;1904;3473;1863;462;534;2570;2483;3678;713;217;656;1371;1003;431;73;457;1376;1142;630;2307,99;230695;106;1,232;7,1;1200;1538;700;161;79;374;274;97;7;62;929;13;25;2
DOLNOSLASKIE;2006;145;2892272;16520;10185;825;6081;5965;2083;651;676;125;3701;7044;3656;835;955;4719;4644;7358;1174;419;1407;2705;1753;1074;129;970;2819;2018;1422;2617,16;422592;108;1,179;6,9;2822;2916;1287;244;89;751;555;251;9;162;2197;21;25;2
KUJAWSKO-POMORSKIE;2006;115;2066704;12754;8846;767;5528;4268;1372;339;417;102;3415;5541;2555;488;530;5115;5135;4295;794;239;792;1708;1054;502;89;542;1706;1248;710;2268,87;304702;107;1,308;5,7;1471;1700;840;201;83;540;401;225;4;127;1496;20;5;0
LUBELSKIE;2006;86;2160532;13534;10038;1096;6206;4593;1337;234;225;184;4114;5948;2477;359;327;7235;7220;1917;690;114;321;718;520;244;44;225;706;580;362;2290,6;350932;106;1,33;6,4;606;750;410;109;42;59;48;196;1;12;965;1;1;0
LUBUSKIE;2006;72;1007131;5867;3721;252;2378;2103;771;179;226;24;1331;2590;1284;276;270;2101;2133;2420;503;113;432;855;671;349;38;267;910;754;451;2235,01;143711;106;1,299;6,5;899;924;437;120;40;320;234;113;7;69;943;11;5;0
LODZKIE;2006;141;2568872;14468;10152;719;5818;5280;1699;414;496;119;3616;6465;2905;562;665;5274;5328;5411;884;338;985;1981;1339;768;120;732;2017;1522;1020;2287,9;434684;110;1,219;5,5;2062;2210;917;163;59;545;558;121;6;150;1411;20;0;0
MALOPOLSKIE;2006;215;3264300;19543;14920;1210;8719;6432;2154;414;418;193;5336;8705;3861;656;626;9836;9990;4993;1225;301;965;1820;1249;658;94;714;1868;1419;898;2443,91;497253;106;1,279;5,4;1855;1990;880;201;67;527;351;211;12;118;1186;21;1;0
MAZOWIECKIE;2006;145;5155978;29819;21085;1578;11389;10541;3890;793;937;262;6879;13146;6434;1215;1488;10512;10784;9755;1777;583;1881;3571;2341;1379;219;1291;3730;2707;1808;3381,13;1005581;109;1,314;5;3979;3720;1607;322;127;788;679;283;16;173;4039;36;3;0
OPOLSKIE;2006;111;1044718;5598;3398;415;2336;1801;594;171;175;55;1504;2293;1205;255;213;2443;2532;2091;559;172;374;794;521;230;58;305;800;594;334;2367,74;138463;107;1,039;5,4;730;817;395;105;44;286;294;60;2;62;842;6;8;1
PODKARPACKIE;2006;118;2105800;12678;9637;947;6225;3953;1136;200;170;145;4027;5569;2222;337;267;7490;7472;2301;773;170;473;794;579;285;65;340;863;641;392;2179,57;301857;105;1,243;7;816;883;444;117;41;273;210;129;4;34;695;6;63;0
PODLASKIE;2006;59;1191034;6869;5156;503;3008;2310;743;152;154;86;1935;2986;1341;254;212;2721;2879;1853;328;140;360;619;469;265;65;257;659;512;360;2307,59;182326;105;1,244;6,2;694;691;357;86;25;141;232;84;2;33;586;2;14;0
POMORSKIE;2006;120;2197241;13941;9383;797;5670;4506;1807;485;457;138;3546;5760;3036;650;658;4835;4821;4371;766;244;845;1631;1069;582;86;576;1664;1276;769;2650,2;318969;106;1,394;5,5;1622;1663;830;192;64;618;402;189;14;135;1166;42;4;0
SLASKIE;2006;379;4674241;27847;17862;1560;11521;9693;3206;896;1024;276;7163;12127;5403;1208;1430;5694;5645;10718;1161;671;2118;4014;2680;1235;235;1495;4207;3092;1689;2729,63;687332;107;1,173;7,3;4107;4418;1746;344;103;1342;969;623;14;373;3083;52;105;5
SWIETOKRZYSKIE;2006;109;1276445;7858;5979;523;3695;2505;752;142;169;88;2301;3585;1374;231;216;4169;4193;870;273;71;164;306;214;115;25;129;305;256;155;2263,6;205469;105;1,191;5;311;319;188;38;14;61;77;26;3;12;252;3;2;1
WARMINSKO-MAZURSKIE;2006;59;1426235;8401;5773;575;3814;2802;904;249;252;71;2270;3615;1685;365;319;3546;3445;3480;850;238;629;1240;910;463;85;457;1242;1092;604;2218,32;188782;105;1,358;5;1183;1292;723;196;86;387;463;126;5;79;1394;4;45;2
WIELKOPOLSKIE;2006;113;3370395;20706;15221;1221;8860;7375;2278;516;485;200;5518;9242;4158;730;671;9190;9160;5244;1276;338;1051;2028;1200;627;133;757;2069;1435;850;2389;561133;106;1,344;6,1;1855;2049;1048;198;94;651;425;216;14;159;1953;35;7;0
ZACHODNIOPOMORSKIE;2006;74;1694044;9778;5875;459;3548;3441;1446;452;446;47;1952;3970;2432;564;649;3100;3092;4645;774;238;839;1697;1207;664;71;569;1698;1377;930;2406,98;237639;106;1,251;6,6;1765;1821;815;177;67;525;407;98;3;122;1116;14;36;0
DOLNOSLASKIE;2007;144;2872325;18582;11316;851;6426;6818;2756;709;792;100;3779;7849;4575;902;1126;5423;5482;6681;1062;369;1330;2524;1481;977;136;848;2719;1696;1282;2860,66;445353;109;1,222;6,9;2601;2663;1150;203;64;661;445;187;9;127;1665;21;175;27
KUJAWSKO-POMORSKIE;2007;115;2066704;14126;9707;795;6050;4704;1684;430;410;130;3667;6027;3032;578;562;5715;5844;3978;800;242;749;1547;935;505;99;515;1589;1131;644;2443,17;316399;107;1,348;6,1;1502;1534;756;136;50;455;377;133;8;85;978;14;80;15
LUBELSKIE;2007;86;2160532;14884;11089;1106;6464;5064;1586;291;288;239;4100;6643;2922;428;405;7869;8042;2319;727;184;463;834;517;321;70;339;917;564;429;2486,22;355928;106;1,343;6,1;889;921;373;109;27;122;86;41;2;7;646;5;48;3
LUBUSKIE;2007;72;1007131;6643;4158;301;2533;2393;982;256;266;31;1444;2787;1613;321;358;2415;2360;2122;487;111;390;769;531;321;36;224;848;594;420;2429,97;147882;106;1,333;6;835;784;392;88;23;284;206;97;4;35;708;5;49;1
LODZKIE;2007;140;2550653;15356;10868;685;5940;5848;2010;431;510;129;3566;6951;3260;631;665;5568;5498;4901;795;270;888;1905;1141;697;101;621;1942;1307;930;2470,86;449767;110;1,243;4,8;2008;1918;822;126;27;458;417;66;3;109;1278;17;72;16
MALOPOLSKIE;2007;216;3279483;21422;16410;1262;9296;7415;2481;438;411;213;5759;9473;4479;738;571;11069;11085;4149;1097;251;774;1611;958;555;99;547;1651;1121;731;2666,24;509951;106;1,322;6,4;1602;1709;676;135;27;402;213;74;6;77;911;13;81;18
MAZOWIECKIE;2007;146;5191537;32645;23139;1564;12076;11765;4574;917;1006;287;7209;14232;7469;1413;1601;11814;11972;9064;1565;488;1735;3506;2021;1314;167;1183;3663;2319;1732;3670,84;1053190;109;1,359;4,9;3759;3506;1472;266;61;744;557;175;9;133;3293;37;169;48
OPOLSKIE;2007;110;1035306;5856;3693;380;2382;1971;699;193;176;50;1412;2474;1343;276;233;2645;2617;1870;480;133;332;682;477;246;51;215;731;545;328;2607,45;141655;107;1,042;4,4;709;717;332;87;25;348;180;35;5;27;430;5;62;6
PODKARPACKIE;2007;118;2105800;13766;10508;917;6527;4531;1338;201;196;173;4001;6291;2545;339;284;7939;7974;2214;718;184;456;787;501;286;73;324;858;562;397;2372,82;309373;105;1,275;6;831;866;390;102;25;211;153;95;2;21;429;5;116;3
PODLASKIE;2007;59;1191034;7375;5482;502;3177;2579;793;174;143;71;1990;3277;1500;239;219;2908;3078;2045;372;186;362;733;506;258;71;293;775;556;350;2524,95;188133;105;1,253;5;718;786;423;88;30;211;220;89;0;31;560;4;88;6
POMORSKIE;2007;121;2215551;15499;10386;864;6130;5208;2108;527;549;148;3773;6253;3615;769;757;5510;5487;4499;760;243;791;1821;1030;614;72;567;1844;1184;832;2882,56;330349;106;1,455;6,4;1844;1696;777;135;47;670;428;176;11;136;1182;35;167;43
SLASKIE;2007;377;4649575;30022;19302;1530;11822;10794;3895;1040;1077;305;7069;13065;6410;1390;1504;6113;6067;9531;1124;638;1857;3669;2184;1183;219;1379;3793;2522;1618;2933,32;708050;107;1,211;6,7;3671;3873;1613;303;71;1123;684;331;13;195;2024;30;212;40
SWIETOKRZYSKIE;2007;109;1276445;8500;6350;583;3805;2860;919;155;172;102;2231;3874;1730;272;217;4548;4496;1126;367;94;224;389;266;153;39;146;436;290;215;2467,07;209139;105;1,254;5;469;427;185;35;10;80;57;46;0;5;351;2;40;0
WARMINSKO-MAZURSKIE;2007;59;1426235;9534;6350;612;3980;3369;1149;297;285;90;2413;4121;2058;384;382;3988;3915;3029;732;227;565;1080;728;429;75;404;1103;877;570;2398;194978;105;1,398;5,4;1076;1166;586;143;58;284;369;67;3;50;868;10;86;6
WIELKOPOLSKIE;2007;114;3400221;23599;17395;1263;9588;8565;2910;602;554;222;5901;10443;5125;910;778;10380;10516;4947;1234;351;987;2022;1073;514;132;724;2086;1261;744;2610,82;587551;106;1,393;6,7;1645;2027;1012;180;83;584;381;142;10;110;1814;22;114;21
ZACHODNIOPOMORSKIE;2007;74;1694044;10893;6488;446;3784;3921;1726;472;486;65;2131;4344;2892;636;684;3495;3497;3703;648;183;624;1438;876;582;49;378;1481;1019;776;2615,83;243159;106;1,301;7,4;1390;1457;682;132;42;428;254;107;6;59;825;12;78;12
DOLNOSLASKIE;2008;144;2872325;19087;11712;771;6370;7055;3068;751;789;111;3542;8001;5031;1024;1099;5644;5718;6250;2494;367;1136;2445;1393;909;125;806;2494;1671;1154;3135,83;464274;109;1,316;7,4;1136;2445;1393;909;125;570;433;164;13;129;1475;9;197;14
KUJAWSKO-POMORSKIE;2008;115;2066704;14693;9939;806;5742;5195;1977;445;435;141;3559;6276;3303;646;617;5927;6066;3606;1467;216;668;1417;814;491;84;444;1467;952;659;2691,69;321676;107;1,433;5,8;668;1417;814;491;84;478;350;102;11;78;568;9;64;6
LUBELSKIE;2008;86;2160532;14812;11090;1118;6169;5336;1689;255;269;230;3961;6687;2996;413;388;7829;7861;1939;792;158;405;727;392;257;68;287;792;454;338;2771,99;359650;106;1,412;6,4;405;727;392;257;68;169;155;88;3;31;603;7;85;9
LUBUSKIE;2008;72;1007131;6982;4445;285;2462;2656;1117;235;245;37;1401;2963;1817;323;323;2512;2483;2232;842;93;383;854;543;359;46;238;842;632;474;2653,55;148822;106;1,4;5,4;383;854;543;359;46;279;201;95;3;28;792;0;58;3
LODZKIE;2008;140;2550653;16287;11390;739;5875;6450;2416;462;524;143;3504;7347;3779;644;706;5972;5849;4298;1734;227;888;1664;946;573;83;605;1734;1118;758;2740,58;455114;110;1,331;5,3;888;1664;946;573;83;403;293;57;1;62;1309;13;53;13
MALOPOLSKIE;2008;217;3294665;22041;16814;1221;9120;7838;2616;485;403;191;5529;9850;4879;731;623;11347;11461;4362;1718;252;864;1678;951;617;105;568;1718;1171;800;2903,63;523378;106;1,417;4,9;864;1678;951;617;105;497;296;97;7;85;1106;14;143;25
MAZOWIECKIE;2008;146;5191537;33975;24152;1589;12247;12602;4910;905;1123;303;7195;14958;8080;1356;1618;12475;12604;9165;3664;529;1674;3618;1950;1394;184;1176;3664;2275;1866;4036,26;1067544;109;1,434;4,9;1674;3618;1950;1394;184;810;584;148;9;103;3139;24;207;75
OPOLSKIE;2008;110;1035306;6220;3953;381;2405;2093;799;205;204;43;1461;2678;1400;289;268;2774;2888;1694;665;103;286;637;434;234;36;195;665;473;325;2873,22;144865;107;1,132;5,9;286;637;434;234;36;297;150;27;1;16;334;5;47;4
PODKARPACKIE;2008;118;2105800;13878;10728;986;6333;4842;1487;226;172;171;3827;6338;2778;373;250;8214;8177;2290;858;199;483;810;495;303;72;373;858;589;398;2614,12;314286;105;1,341;5,4;483;810;495;303;72;225;137;48;2;16;338;7;109;5
PODLASKIE;2008;59;1191034;7842;5730;458;3230;2838;949;162;174;107;2025;3434;1693;282;235;3076;3280;1837;681;145;346;647;441;258;58;268;681;499;331;2781,21;191604;105;1,327;5,3;346;647;441;258;58;186;176;78;0;15;462;2;104;5
POMORSKIE;2008;121;2215551;15999;10675;900;6168;5410;2334;549;505;139;3792;6497;3806;806;732;5782;5718;4096;1635;216;696;1626;965;593;69;499;1635;1120;773;3167,7;336645;106;1,558;5,5;696;1626;965;593;69;581;279;115;3;90;1049;28;144;39
SLASKIE;2008;377;4649575;31109;19890;1591;11508;11421;4466;1121;1088;268;7039;13485;6933;1506;1563;6501;6489;9711;3932;615;1885;3749;2189;1273;257;1290;3932;2522;1710;3239,09;717700;107;1,298;6,8;1885;3749;2189;1273;257;1038;601;263;12;157;1673;21;228;22
SWIETOKRZYSKIE;2008;109;1276445;8575;6478;539;3697;3129;930;172;175;73;2153;3994;1744;267;260;4725;4545;1259;498;83;256;465;280;175;28;161;498;336;236;2745,39;214064;105;1,331;4,7;256;465;280;175;28;113;80;42;0;7;333;1;43;0
WARMINSKO-MAZURSKIE;2008;59;1426235;10009;6625;643;3984;3622;1311;321;285;105;2408;4257;2324;408;402;4211;4266;2805;1045;210;503;1010;676;406;71;365;1045;789;535;2615,33;197379;105;1,457;5,1;503;1010;676;406;71;347;300;66;1;44;724;5;109;6
WIELKOPOLSKIE;2008;114;3400221;24656;17852;1301;9688;9152;3338;651;586;244;5885;10886;5584;984;838;11045;10965;5677;2382;384;1093;2311;1219;670;132;768;2382;1479;916;2868,81;593382;106;1,488;5,6;1093;2311;1219;670;132;662;420;163;3;117;2057;18;171;37
ZACHODNIOPOMORSKIE;2008;74;1694044;11579;6981;475;3732;4258;1955;506;534;64;2154;4646;3134;695;725;3754;3728;3784;1423;192;652;1411;895;634;63;408;1423;1045;845;2881;248710;106;1,381;5,1;652;1411;895;634;63;525;237;97;7;58;747;10;82;13
DOLNOSLASKIE;2009;144;2872325;18024;10803;632;5564;6977;3119;667;810;104;2993;7740;4905;938;1067;5206;5103;6527;1091;367;1110;2502;1413;1135;121;769;2499;1699;1439;3295,44;454927;109;1,316;6,5;2795;2490;1022;173;47;609;355;110;12;119;1625;21;175;28
KUJAWSKO-POMORSKIE;2009;115;2066704;14070;9376;694;5102;5276;2062;486;444;95;3100;6181;3272;618;635;5512;5629;3896;928;249;688;1572;889;498;84;469;1625;1034;684;2810,97;312893;107;1,419;6,4;1437;1548;724;139;48;450;225;89;0;64;510;7;36;4
LUBELSKIE;2009;86;2160532;14590;10952;863;5743;5666;1843;262;288;142;3548;6790;3138;453;375;7581;7585;2814;926;212;552;1037;630;383;90;399;1078;744;503;2891,3;357255;107;1,405;4,9;1091;1123;463;100;37;355;227;91;3;56;773;7;83;20
LUBUSKIE;2009;72;1007131;6621;4136;215;2224;2590;1124;233;269;22;1201;2819;1810;329;346;2404;2307;1968;430;99;323;757;471;318;30;207;745;554;432;2802,77;146066;106;1,419;6,3;755;744;372;76;21;246;141;63;0;30;693;3;49;4
LODZKIE;2009;140;2550653;15820;10966;618;5421;6426;2416;485;508;111;3089;7329;3814;617;688;5727;5728;4929;875;232;869;1993;1080;755;88;598;1995;1287;961;2884,6;443705;110;1,363;5,4;2013;1909;848;114;45;419;388;100;9;93;1296;17;80;29
MALOPOLSKIE;2009;217;3294665;21801;16381;1053;8628;7948;2934;477;424;170;5167;9824;4970;781;645;11161;11263;4095;979;228;754;1575;942;596;94;495;1680;1007;819;3057,71;529249;106;1,426;5;1695;1599;652;117;32;362;256;53;14;68;927;14;118;20
MAZOWIECKIE;2009;147;5227095;33328;23394;1342;11049;12851;5240;965;1127;226;6361;14859;8359;1427;1632;12131;12312;9003;1779;462;1527;3615;2001;1398;163;1042;3597;2376;1825;4179,63;1074590;109;1,454;4,9;3874;3343;1484;239;63;654;494;138;7;137;2465;27;150;61
OPOLSKIE;2009;110;1035306;6154;3900;331;2292;2171;840;207;194;53;1350;2616;1519;272;271;2739;2799;1762;506;111;285;658;456;252;36;197;666;523;340;2987,87;140679;107;1,147;5;716;627;331;72;16;171;108;33;0;17;480;7;46;3
PODKARPACKIE;2009;118;2105800;13971;10808;848;6019;5226;1658;223;215;146;3518;6575;2902;382;281;8222;8140;2273;784;184;456;823;488;322;70;334;897;565;407;2740,89;308056;105;1,34;5,5;884;849;427;85;28;185;98;59;0;19;423;6;126;7
PODLASKIE;2009;59;1191034;7557;5563;386;3018;2844;983;161;155;87;1834;3427;1643;266;225;2799;2963;2040;409;170;381;713;501;275;85;274;749;563;369;2884,68;189429;105;1,346;4,7;769;828;338;84;21;163;162;42;3;36;521;2;131;3
POMORSKIE;2009;122;2233861;15335;10102;700;5605;5369;2385;485;501;91;3394;6420;3776;716;691;5214;5193;4145;775;189;690;1695;959;612;73;450;1681;1160;781;3320,06;339209;106;1,548;5;1601;1576;775;141;52;616;197;109;0;58;659;11;83;7
SLASKIE;2009;376;4637242;31209;20134;1428;11139;11906;4577;1114;1127;244;6566;13804;7209;1417;1598;6680;6519;8661;1019;537;1534;3402;2013;1175;206;1060;3423;2402;1570;3405,18;707416;107;1,326;7,2;3511;3501;1371;215;63;1141;568;119;6;111;2182;35;182;11
SWIETOKRZYSKIE;2009;108;1264734;8287;6244;443;3381;3245;990;165;139;73;1881;3966;1809;260;209;4397;4344;1041;314;68;185;411;201;176;28;137;394;262;220;2868,09;207357;105;1,328;4,2;419;407;180;33;2;88;45;31;1;8;319;3;31;1
WARMINSKO-MAZURSKIE;2009;59;1426235;9427;6063;500;3543;3677;1359;298;253;83;2075;4172;2219;419;377;3781;3768;2840;664;190;486;1068;678;418;69;340;1066;810;555;2752,41;192505;105;1,474;5;1048;1065;560;110;57;418;345;38;0;47;706;5;74;6
WIELKOPOLSKIE;2009;114;3400221;23552;16917;1056;8716;9163;3428;629;572;176;5060;10689;5662;912;802;10440;10334;5057;1332;327;948;2045;1109;628;110;689;2103;1298;857;2976,28;588536;106;1,481;5,4;1872;2014;939;187;45;505;314;84;7;104;1755;9;107;24
ZACHODNIOPOMORSKIE;2009;74;1694044;11048;6295;369;3346;4273;2006;507;520;36;1818;4537;3114;656;730;3425;3450;3804;646;171;589;1518;902;624;64;372;1445;1089;834;3021,51;241328;106;1,36;6,7;1583;1417;667;100;37;560;312;96;5;144;1036;16;119;19
DOLNOSLASKIE;2010;146;2912218;16390;9665;522;4693;6540;2979;626;787;56;2523;6950;4662;889;1049;4874;4757;5797;1015;306;992;2288;1278;933;126;638;2253;1564;1216;3412,37;465376;108;1,288;6,1;2401;2221;976;164;35;601;271;71;11;88;1524;18;132;16
KUJAWSKO-POMORSKIE;2010;117;2102647;12447;8275;471;4288;4809;1925;452;377;62;2502;5494;3132;570;535;5026;4984;4000;1084;235;702;1565;921;577;87;455;1618;1042;798;2910,82;311912;106;1,388;5,8;1541;1564;713;143;39;419;188;80;0;62;504;8;58;24
LUBELSKIE;2010;87;2185654;13302;9872;707;5074;5252;1813;262;259;113;3019;6180;3059;444;357;7124;7087;2483;837;216;462;920;539;346;79;345;966;628;465;3099,6;384696;106;1,367;4,7;944;999;433;87;20;145;94;20;3;14;437;2;45;3
LUBUSKIE;2010;73;1021119;5926;3549;164;1840;2440;1042;252;219;21;940;2588;1690;290;302;2124;2037;1937;444;105;310;698;463;361;28;213;712;506;478;2920,43;151377;105;1,352;5,4;791;696;382;52;16;217;113;49;6;40;610;14;56;2
LODZKIE;2010;140;2550653;14513;10013;472;4799;6077;2331;450;489;83;2617;6904;3538;587;654;5408;5349;4267;775;222;713;1698;978;656;85;496;1727;1101;858;3066,02;449423;110;1,353;4;1765;1622;762;93;25;323;304;74;18;81;1091;9;75;34
MALOPOLSKIE;2010;220;3340214;20381;15275;884;7963;7538;2841;455;377;144;4490;9286;4914;697;606;10656;10780;3621;1102;229;623;1418;819;532;77;464;1390;987;703;3169,9;588022;106;1,396;4,5;1523;1385;578;108;27;280;212;35;3;34;1049;10;112;5
MAZOWIECKIE;2010;148;5262654;30488;21252;1073;9693;12032;5200;897;963;161;5422;13574;8113;1365;1403;11470;11249;8314;1560;448;1405;3323;1816;1322;144;914;3422;2067;1767;4279,55;1069648;109;1,453;4,5;3597;3081;1395;189;52;530;378;131;10;132;2628;24;155;59
OPOLSKIE;2010;108;1016482;5693;3591;242;2075;2088;801;162;193;26;1107;2565;1396;269;250;2671;2723;1516;469;105;255;545;353;258;42;175;571;408;320;3137,29;142800;107;1,155;5,2;598;568;286;57;7;141;79;22;0;21;259;2;36;2
PODKARPACKIE;2010;119;2123645;13213;10214;699;5560;5109;1610;224;174;101;3132;6372;2825;397;241;7806;7571;2087;744;175;382;796;424;310;61;304;788;539;395;2877,43;370960;104;1,314;5,2;781;819;387;75;25;183;99;49;1;15;403;2;104;5
PODLASKIE;2010;60;1211221;7003;5114;352;2616;2883;930;161;160;56;1439;3360;1609;260;206;2650;2669;1937;402;163;354;679;439;302;72;267;716;485;397;3019,83;187357;105;1,309;4,5;775;684;381;78;19;174;201;37;4;31;494;4;109;1
POMORSKIE;2010;124;2270482;13604;8914;579;4673;4949;2340;482;465;90;2810;5648;3448;746;674;4887;4836;3661;645;207;586;1434;842;592;75;386;1463;966;771;3383,58;344404;105;1,49;4,5;1496;1342;677;118;28;664;170;131;1;53;441;8;57;10
SLASKIE;2010;376;4637242;28462;18447;992;9801;11157;4519;983;1028;163;5455;12742;7022;1317;1435;6382;6327;8522;1101;517;1508;3307;1981;1209;200;1048;3364;2320;1590;3528,19;728562;107;1,341;5,7;3494;3425;1337;211;55;944;469;117;8;113;2627;29;132;23
SWIETOKRZYSKIE;2010;110;1288155;7833;5806;413;3074;3068;960;139;153;56;1601;3834;1849;229;201;4263;4137;1536;519;90;285;547;348;266;29;191;587;393;336;2971,58;215511;105;1,306;6,3;663;588;245;29;11;88;96;34;2;16;493;5;68;4
WARMINSKO-MAZURSKIE;2010;60;1450408;8370;5338;372;2972;3347;1386;265;263;49;1630;3700;2167;375;351;3524;3401;2899;728;203;511;1086;660;439;86;345;1089;782;597;2879,97;197734;104;1,387;4,8;1068;1111;555;124;41;359;311;50;3;64;725;8;90;6
WIELKOPOLSKIE;2010;116;3459874;21191;14924;794;7692;8364;3328;574;519;110;4383;9647;5259;836;723;9668;9492;4926;1371;315;924;2017;1049;621;109;653;2070;1253;841;3126,36;599646;106;1,478;4,4;1865;1904;947;168;42;517;374;95;9;115;1768;19;104;27
ZACHODNIOPOMORSKIE;2010;75;1716936;9521;5260;255;2707;3708;1858;416;448;23;1417;3805;2906;570;666;3007;3021;3314;627;138;516;1282;815;563;54;337;1192;957;774;3120,15;242124;105;1,308;5,2;1433;1205;557;97;22;396;248;66;2;72;983;13;103;8
DOLNOSLASKIE;2011;146;2912218;15106;8227;410;4064;6000;3036;632;733;57;2125;6168;4654;872;964;4556;4501;5942;1069;308;1008;2315;1316;995;107;718;2273;1585;1259;3587,25;472910;108;1,21;5,6;2543;2212;1001;145;41;513;290;50;20;91;1199;26;131;12
KUJAWSKO-POMORSKIE;2011;117;2102647;11299;7040;367;3880;4272;1976;460;393;68;2153;4858;3008;543;532;4657;4652;4029;1076;252;719;1569;942;547;86;496;1591;1125;731;3062,32;312451;106;1,297;6;1489;1571;764;146;59;403;175;68;2;63;504;5;23;2
LUBELSKIE;2011;86;2160532;12150;8693;601;4530;4819;1728;251;236;101;2584;5753;2854;398;319;6597;6509;2806;1004;228;524;1042;613;399;68;415;1097;704;522;3257,14;388168;106;1,297;4,4;1211;1094;402;81;18;153;103;16;0;18;518;4;40;10
LUBUSKIE;2011;73;1021119;5203;2890;123;1481;2128;1039;243;260;17;730;2198;1528;306;356;1936;1894;2103;479;100;317;818;492;376;37;231;749;598;488;3073,95;152187;105;1,298;5,6;926;749;349;62;17;253;131;48;8;57;563;31;61;5
LODZKIE;2011;139;2532434;12640;8427;330;3935;5394;2122;442;476;52;2069;5733;3410;589;638;4778;4713;4055;873;221;668;1582;951;633;77;468;1573;1086;851;3245,97;445597;110;1,279;4,5;1729;1540;672;89;25;332;277;94;18;81;1119;13;68;27
MALOPOLSKIE;2011;220;3340214;18484;13529;725;6953;6900;2791;460;404;100;3894;8432;4553;673;617;9880;9834;4941;1441;255;839;1897;1163;787;89;566;1885;1400;1001;3332,98;596473;106;1,332;4,3;2116;1866;781;145;33;369;329;69;9;89;1909;16;149;11
MAZOWIECKIE;2011;149;5298212;27506;18199;886;8353;10771;5036;844;1003;154;4641;12031;7565;1274;1433;10229;10262;8712;1738;437;1375;3535;1922;1443;162;892;3507;2265;1886;4504,66;1091416;109;1,366;3,4;3887;3164;1380;230;51;612;431;124;14;86;2760;21;160;65
