Wojewodztwo;Rok;Gestosc zaludnienia na km2;Populacja;Ilosc malzenstw;Ilosc malzenstw koscielnych;Malzenstwa kobieta <=19 lat;Malzenstwa kobieta 20-24 lat;Malzenstwa kobieta 25-29 lat;Malzenstwa kobieta 30-39 lat;Malzenstwa kobieta 40-49 lat;Malzenstwa kobieta >=50 lat;Malzenstwa mezczyzna <=19 lat;Malzenstwa mezczyzna 20-24 lat;Malzenstwa mezczyzna 25-29 lat;Malzenstwa mezczyzna 30-39 lat;Malzenstwa mezczyzna 40-49 lat;Malzenstwa mezczyzna >=50 lat;Malzenstwa kobieta pochodzi ze wsi;Malzenstwa mezczyzna pochodzi ze wsi;Ilosc rozwodow;Rozwody zainicjowane przez osoby ze wsi;Rozwody zainicjowane przez kobiety <=24 lat;Rozwody zainicjowane przez kobiety 25-29 lat;Rozwody zainicjowane przez kobiety 30-39 lat;Rozwody zainicjowane przez kobiety 40-49 lat;Rozwody zainicjowane przez kobiety >=50 lat;Rozwody zainicjowane przez mezczyzn <=24 lat;Rozwody zainicjowane przez mezczyzn 25-29 lat;Rozwody zainicjowane przez mezczyzn 30-39 lat;Rozwody zainicjowane przez mezczyzn 40-49 lat;Rozwody zainicjowane przez mezczyzn >=50 lat;srednie zarobki;Ilosc zatrudnionych kobiet;Wspolczynnik feminizacji;Dzietnosc;Zgony niemowlat na 1000 urodzonych;Rozwody przy braku dzieci;Rozwody przy 1 dziecku;Rozwody przy 2 dzieciach;Rozwody przy 3 dzieciach;Rozwody przy >=4 dzieciach;Rozwody z powodu niedochowania wiernosci;Rozwody z powodu naduzycia alkoholu;Rozwody z powodu naganndego stosuknu do czlonkow rodziny;Rozwody z powodu trudnosci mieszkaniowych;Rozwody z powodu nieporozumien na tle finansowym;Rozwody z powodu niezgodnosci charakterow;Rozwody z powodu niedoboru seksualnego;Rozwody z powodu dluzszej nieobecnosci;Rozwody z powodu roznic swiatopogladowych
DOLNOSLASKIE;2003;145;2892272;13952;9050;1045;6033;4130;1296;623;665;200;4049;5580;2248;685;928;3946;3870;5376;723;450;1160;1754;1371;641;178;893;1884;1541;880;2233,58;409405;108;1,091;8,3;1985;2224;945;184;38;697;569;251;11;139;1534;17;26;0
KUJAWSKO-POMORSKIE;2003;115;2066704;10457;7570;986;5089;2845;881;326;320;206;3499;4203;1596;400;456;4088;4148;2697;413;241;570;924;650;312;88;470;961;727;451;2000,96;296043;107;1,269;7,9;954;1114;494;106;29;433;337;251;12;116;959;16;2;0
LUBELSKIE;2003;87;2185654;11942;9278;1252;6016;3401;842;185;213;258;4241;4991;1696;355;302;6226;6417;1829;487;158;361;613;475;222;56;285;656;524;308;1995,5;345951;106;1,343;7,7;695;693;340;65;36;148;270;138;13;47;815;14;2;0
LUBUSKIE;2003;72;1007131;4562;3003;268;2106;1354;421;187;235;48;1252;1915;733;241;268;1592;1525;1552;290;132;318;549;372;181;46;277;563;425;241;1990,13;132754;106;1,193;8,2;563;607;298;70;14;191;136;106;3;34;521;7;1;1
LODZKIE;2003;143;2605310;13263;9625;993;6082;4149;1049;410;555;197;4269;5595;1913;486;704;4735;4831;3514;440;242;729;1140;936;467;89;562;1206;1032;625;2024,32;421336;110;1,152;7;1416;1419;571;93;15;397;348;90;4;119;962;12;3;2
MALOPOLSKIE;2003;214;3249117;17181;13702;1486;8315;4981;1415;346;346;267;5530;7374;2821;531;498;8679;8811;2712;563;188;541;931;712;340;79;424;964;777;468;2109,69;478631;106;1,297;5,4;1108;1073;416;86;29;314;171;136;14;73;622;20;6;1
MAZOWIECKIE;2003;144;5120420;26865;19764;2076;11935;8137;2355;793;951;392;8095;11118;4329;1193;1374;9624;9660;6356;819;454;1350;2095;1636;821;177;1007;2270;1787;1115;3005,37;945887;108;1,218;6,7;2728;2426;964;182;56;649;463;193;21;160;2469;36;8;5
OPOLSKIE;2003;112;1054129;4743;3170;463;2190;1257;373;154;166;85;1530;1916;746;198;197;2061;2155;1349;290;127;274;480;322;146;49;207;543;354;196;2087,3;136212;106;1,01;5,2;470;540;257;62;20;216;148;66;2;46;532;5;18;2
PODKARPACKIE;2003;118;2105800;11510;9208;1122;6025;3155;795;170;149;221;4175;4813;1683;282;244;6588;6675;1712;544;168;371;541;451;181;69;285;606;490;262;1950,01;294654;104;1,299;7,7;603;657;320;97;35;241;180;107;3;29;515;7;38;0
PODLASKIE;2003;60;1211221;6141;4685;599;2822;1794;511;135;124;132;1972;2523;1044;218;180;2372;2636;1567;239;147;339;468;426;187;64;264;527;457;255;2035,43;181809;105;1,243;6,3;552;598;316;78;23;159;105;90;0;34;433;3;21;0
